scope,layer,n_free,n_pinned,free_to_pinned_coupling_nnz,asym_free,lambda_max_raw,lambda_min_raw,kappa_raw,lambda_max_jacobi,lambda_min_jacobi,kappa_jacobi,bicgstab_iters_rtol1e-6,bicgstab_iters_rtol1e-10,bicgstab_info_rtol1e-10
thermal,10,48563,252893,63588,3.525748092595604e-17,0.028303533747875507,0.0005518394139545718,51.2894386159331,1.5373022386749895,0.04546131423377763,33.815613661533305,19,35,0
thermal,30,92854,208602,46314,3.49202014960756e-17,0.030387501768421053,0.0005421970006549569,56.045130702888265,1.5138652937105326,0.05860785936660478,25.830414385909904,22,41,0
thermal,60,140898,160558,43845,3.585082325380396e-17,0.03282271459349561,0.00064073632377523,51.226555098521004,1.4978372579243673,0.06497815186405957,23.05139827703909,21,38,0
thermal,90,186869,114587,43807,3.5393039620539935e-17,0.03563372983591568,0.0006450884784647532,55.238515375007836,1.4916520512877938,0.05953040007914159,25.056980119480876,18,33,0
thermal,120,241294,60162,48260,3.739016836134514e-17,0.03951614329765178,0.00043333855213045444,91.19000168200046,1.5622999061738678,0.03760704894748528,41.54274131840212,22,38,0
thermal,150,272798,28658,38084,3.3899056895607885e-17,0.03880436511318049,0.00126872565111006,30.585308241564253,1.452427138574426,0.12030951750772456,12.072420941104447,13,21,0
thermal,182,297351,4105,33373,3.4409105659567776e-17,0.04079294057190534,0.0012681916000073336,32.166228329906495,1.4515092157109835,0.11680178987407312,12.427114492645114,12,20,0
mechanics,30,278562,625806,416826,1.0459402881599685e-16,420977614.5309923,,,5.91619555867131,0.00010273816577404437,57585.177953079336,862,,
mechanics,90,560607,343761,394263,1.0838118179054127e-16,421103491.31913406,,,5.064720982670455,2.943490442575515e-06,1720651.410792043,2000,,
mechanics,150,818394,85974,342756,1.0880770402713969e-16,421931805.28595775,,,4.706846637887817,1.3407975714065226e-06,3510482.6696174904,2000,,
