time,x,y,z,power,laser_on,layer,hatch,mode,front_coord,scan_id
0.005,0.010000,0.008045,0.006000,2540.000000,1,1,1,weld,0.006000,0
0.01,0.010000,0.008135,0.006000,2540.000000,1,1,1,weld,0.006000,1
0.015,0.010000,0.008225,0.006000,2540.000000,1,1,1,weld,0.006000,2
0.02,0.010000,0.008315,0.006000,2540.000000,1,1,1,weld,0.006000,3
0.025,0.010000,0.008405,0.006000,2540.000000,1,1,1,weld,0.006000,4
0.03,0.010000,0.008495,0.006000,2540.000000,1,1,1,weld,0.006000,5
0.035,0.010000,0.008585,0.006000,2540.000000,1,1,1,weld,0.006000,6
0.04,0.010000,0.008675,0.006000,2540.000000,1,1,1,weld,0.006000,7
0.045,0.010000,0.008765,0.006000,2540.000000,1,1,1,weld,0.006000,8
0.05,0.010000,0.008855,0.006000,2540.000000,1,1,1,weld,0.006000,9
0.055,0.010000,0.008945,0.006000,2540.000000,1,1,1,weld,0.006000,10
0.06,0.010000,0.009035,0.006000,2540.000000,1,1,1,weld,0.006000,11
0.065,0.010000,0.009125,0.006000,2540.000000,1,1,1,weld,0.006000,12
0.07,0.010000,0.009215,0.006000,2540.000000,1,1,1,weld,0.006000,13
0.075,0.010000,0.009305,0.006000,2540.000000,1,1,1,weld,0.006000,14
0.08,0.010000,0.009395,0.006000,2540.000000,1,1,1,weld,0.006000,15
0.085,0.010000,0.009485,0.006000,2540.000000,1,1,1,weld,0.006000,16
0.09,0.010000,0.009575,0.006000,2540.000000,1,1,1,weld,0.006000,17
0.095,0.010000,0.009665,0.006000,2540.000000,1,1,1,weld,0.006000,18
0.1,0.010000,0.009755,0.006000,2540.000000,1,1,1,weld,0.006000,19
0.105,0.010000,0.009845,0.006000,2540.000000,1,1,1,weld,0.006000,20
0.11,0.010000,0.009935,0.006000,2540.000000,1,1,1,weld,0.006000,21
0.115,0.010000,0.010025,0.006000,2540.000000,1,1,1,weld,0.006000,22
0.12,0.010000,0.010115,0.006000,2540.000000,1,1,1,weld,0.006000,23
0.125,0.010000,0.010205,0.006000,2540.000000,1,1,1,weld,0.006000,24
0.13,0.010000,0.010295,0.006000,2540.000000,1,1,1,weld,0.006000,25
0.135,0.010000,0.010385,0.006000,2540.000000,1,1,1,weld,0.006000,26
0.14,0.010000,0.010475,0.006000,2540.000000,1,1,1,weld,0.006000,27
0.145,0.010000,0.010565,0.006000,2540.000000,1,1,1,weld,0.006000,28
0.15,0.010000,0.010655,0.006000,2540.000000,1,1,1,weld,0.006000,29
0.155,0.010000,0.010745,0.006000,2540.000000,1,1,1,weld,0.006000,30
0.16,0.010000,0.010835,0.006000,2540.000000,1,1,1,weld,0.006000,31
0.165,0.010000,0.010925,0.006000,2540.000000,1,1,1,weld,0.006000,32
0.17,0.010000,0.011015,0.006000,2540.000000,1,1,1,weld,0.006000,33
0.175,0.010000,0.011105,0.006000,2540.000000,1,1,1,weld,0.006000,34
0.18,0.010000,0.011195,0.006000,2540.000000,1,1,1,weld,0.006000,35
0.185,0.010000,0.011285,0.006000,2540.000000,1,1,1,weld,0.006000,36
0.19,0.010000,0.011375,0.006000,2540.000000,1,1,1,weld,0.006000,37
0.195,0.010000,0.011465,0.006000,2540.000000,1,1,1,weld,0.006000,38
0.2,0.010000,0.011555,0.006000,2540.000000,1,1,1,weld,0.006000,39
0.205,0.010000,0.011645,0.006000,2540.000000,1,1,1,weld,0.006000,40
0.21,0.010000,0.011735,0.006000,2540.000000,1,1,1,weld,0.006000,41
0.215,0.010000,0.011825,0.006000,2540.000000,1,1,1,weld,0.006000,42
0.22,0.010000,0.011915,0.006000,2540.000000,1,1,1,weld,0.006000,43
0.225,0.010000,0.012005,0.006000,2540.000000,1,1,1,weld,0.006000,44
0.23,0.010000,0.012095,0.006000,2540.000000,1,1,1,weld,0.006000,45
0.235,0.010000,0.012185,0.006000,2540.000000,1,1,1,weld,0.006000,46
0.24,0.010000,0.012275,0.006000,2540.000000,1,1,1,weld,0.006000,47
0.245,0.010000,0.012365,0.006000,2540.000000,1,1,1,weld,0.006000,48
0.25,0.010000,0.012455,0.006000,2540.000000,1,1,1,weld,0.006000,49
0.255,0.010000,0.012545,0.006000,2540.000000,1,1,1,weld,0.006000,50
0.26,0.010000,0.012635,0.006000,2540.000000,1,1,1,weld,0.006000,51
0.265,0.010000,0.012725,0.006000,2540.000000,1,1,1,weld,0.006000,52
0.27,0.010000,0.012815,0.006000,2540.000000,1,1,1,weld,0.006000,53
0.275,0.010000,0.012905,0.006000,2540.000000,1,1,1,weld,0.006000,54
0.28,0.010000,0.012995,0.006000,2540.000000,1,1,1,weld,0.006000,55
